Date,Adj Close
2016-12-19,99.6593
2016-12-20,100.5069
2016-12-21,100.2876
2016-12-22,99.8969
2016-12-23,99.5714
2016-12-26,99.7167
2016-12-27,100.0336
2016-12-28,99.3468
2016-12-29,99.8082
2016-12-30,100.7011
2017-01-02,102.2706
2017-01-03,102.9905
2017-01-04,103.566
2017-01-05,104.3791
2017-01-06,104.6193
2017-01-09,104.5231
2017-01-10,103.2456
2017-01-11,103.3174
2017-01-12,103.6779
2017-01-13,104.7507
2017-01-16,104.4478
2017-01-17,104.365
2017-01-18,105.4273
2017-01-19,105.6087
2017-01-20,105.2767
2017-01-23,104.1842
2017-01-24,104.4442
2017-01-25,106.3482
2017-01-26,106.9662
2017-01-27,106.6077
2017-01-30,106.1437
2017-01-31,106.8697
2017-02-01,105.7922
2017-02-02,107.0312
2017-02-03,108.5042
2017-02-06,108.0309
2017-02-07,107.2162
2017-02-08,107.1193
2017-02-09,106.451
2017-02-10,106.6334
2017-02-13,105.4458
2017-02-14,106.0316
2017-02-15,106.4887
2017-02-16,106.8558
2017-02-17,105.6345
2017-02-20,106.5054
2017-02-21,106.4451
2017-02-22,107.467
2017-02-23,107.3524
2017-02-24,107.6099
2017-02-27,108.0746
2017-02-28,108.9362
2017-03-01,108.8322
2017-03-02,108.7474
2017-03-03,108.3202
2017-03-06,109.6201
2017-03-07,110.0433
2017-03-08,111.0561
2017-03-09,112.2147
2017-03-10,110.7156
2017-03-13,109.8319
2017-03-14,110.6793
2017-03-15,110.5395
2017-03-16,109.6154
2017-03-17,110.6476
2017-03-20,110.6195
2017-03-21,110.2809
2017-03-22,108.7553
2017-03-23,108.8287
2017-03-24,109.5149
2017-03-27,108.8236
2017-03-28,108.2612
2017-03-29,107.7567
2017-03-30,107.6109
2017-03-31,107.037
2017-04-03,107.5408
2017-04-04,107.2191
2017-04-05,107.5453
2017-04-06,107.1321
2017-04-07,107.3436
2017-04-10,107.7922
2017-04-11,108.851
2017-04-12,108.2537
2017-04-13,108.2433
2017-04-14,108.7772
2017-04-17,107.4166
2017-04-18,108.0505
2017-04-19,107.8591
2017-04-20,108.5885
2017-04-21,108.9518
2017-04-24,109.066
2017-04-25,108.4358
2017-04-26,108.3976
2017-04-27,108.4015
2017-04-28,108.9709
2017-05-01,109.7218
2017-05-02,110.8614
2017-05-03,111.5458
2017-05-04,110.7739
2017-05-05,111.5047
2017-05-08,111.7967
2017-05-09,110.5516
2017-05-10,109.1035
2017-05-11,109.2318
2017-05-12,110.9765
2017-05-15,110.4436
2017-05-16,110.4967
2017-05-17,110.1612
2017-05-18,111.2815
2017-05-19,110.7931
2017-05-22,109.8326
2017-05-23,108.4021
2017-05-24,108.1233
2017-05-25,105.2546
2017-05-26,106.3828
2017-05-29,106.7941
2017-05-30,107.5791
2017-05-31,109.8641
2017-06-01,111.4156
2017-06-02,110.0056
2017-06-05,110.6459
2017-06-06,109.7054
2017-06-07,110.8969
2017-06-08,109.1059
2017-06-09,103.2097
2017-06-12,101.5681
2017-06-13,102.34
2017-06-14,101.4378
2017-06-15,100.6562
2017-06-16,101.7493
2017-06-19,102.0856
2017-06-20,103.7185
2017-06-21,103.9141
2017-06-22,104.1836
2017-06-23,104.537
2017-06-26,103.5424
2017-06-27,100.5262
2017-06-28,100.3963
2017-06-29,98.3642
2017-06-30,97.8532
2017-07-03,96.4655
2017-07-04,96.3009
2017-07-05,97.1467
2017-07-06,98.3008
2017-07-07,98.0254
2017-07-10,97.9583
2017-07-11,97.4177
2017-07-12,97.2239
2017-07-13,97.1553
2017-07-14,98.0373
2017-07-17,100.6247
2017-07-18,99.9156
2017-07-19,98.5321
2017-07-20,97.654
2017-07-21,97.9191
2017-07-24,97.7964
2017-07-25,97.4217
2017-07-26,96.8006
2017-07-27,96.9508
2017-07-28,96.6772
2017-07-31,96.3482
2017-08-01,96.4721
2017-08-02,96.0019
2017-08-03,96.1093
2017-08-04,95.8631
2017-08-07,95.6031
2017-08-08,96.9392
2017-08-09,95.4692
2017-08-10,95.1836
2017-08-11,94.4094
2017-08-14,94.5754
2017-08-15,94.8403
2017-08-16,95.2369
2017-08-17,95.1483
2017-08-18,95.6898
2017-08-21,94.1107
2017-08-22,93.8658
2017-08-23,94.0345
2017-08-24,93.639
2017-08-25,94.1174
2017-08-28,92.9211
2017-08-29,92.1812
2017-08-30,92.0348
2017-08-31,91.819
2017-09-01,90.9059
2017-09-04,90.9881
2017-09-05,90.5186
2017-09-06,90.9479
2017-09-07,90.7269
2017-09-08,91.149
2017-09-11,90.2669
2017-09-12,90.2847
2017-09-13,90.2058
2017-09-14,91.4946
2017-09-15,91.8659
2017-09-18,91.182
2017-09-19,90.7595
2017-09-20,90.1642
2017-09-21,89.7016
2017-09-22,89.8213
2017-09-25,89.9271
2017-09-26,89.0828
2017-09-27,89.2581
2017-09-28,89.4681
2017-09-29,89.9743
2017-10-02,89.8471
2017-10-03,90.2203
2017-10-04,90.5371
2017-10-05,91.2836
2017-10-06,91.2323
2017-10-09,92.0177
2017-10-10,91.1731
2017-10-11,90.2874
2017-10-12,91.4121
2017-10-13,91.6608
2017-10-16,92.5595
2017-10-17,91.7502
2017-10-18,91.2709
2017-10-19,93.69
2017-10-20,93.838
2017-10-23,93.4544
2017-10-24,93.2882
2017-10-25,93.2279
2017-10-26,93.4223
2017-10-27,92.1964
2017-10-30,92.6621
2017-10-31,92.6005
2017-11-01,92.873
2017-11-02,92.8705
2017-11-03,93.3441
2017-11-06,93.7954
2017-11-07,93.5985
2017-11-08,93.7739
2017-11-09,93.4644
2017-11-10,94.8293
2017-11-13,95.0319
2017-11-14,94.1025
2017-11-15,93.2844
2017-11-16,94.5221
2017-11-17,94.597
2017-11-20,94.3634
2017-11-21,94.2571
2017-11-22,94.6396
2017-11-23,95.4675
2017-11-24,96.6653
2017-11-27,96.1409
2017-11-28,96.786
2017-11-29,97.9741
2017-11-30,99.5325
2017-12-01,97.7721
2017-12-04,97.3662
2017-12-05,96.8841
2017-12-06,96.9772
2017-12-07,96.4133
2017-12-08,96.6863
2017-12-11,97.2173
2017-12-12,97.6166
2017-12-13,98.2716
2017-12-14,97.3403
2017-12-15,97.801
2017-12-18,98.1128
2017-12-19,98.8076
2017-12-20,98.8821
2017-12-21,98.2908
2017-12-22,97.2753
2017-12-25,97.4755
2017-12-26,97.233
2017-12-27,97.6827
2017-12-28,96.7041
2017-12-29,96.7418
2018-01-01,96.8234
2018-01-02,95.6899
2018-01-03,96.4324
2018-01-04,95.8213
2018-01-05,96.2187
2018-01-08,95.0373
2018-01-09,95.9354
2018-01-10,96.2177
2018-01-11,97.3991
2018-01-12,97.3891
2018-01-15,97.845
2018-01-16,97.2721
2018-01-17,97.7568
2018-01-18,97.495
2018-01-19,97.4227
2018-01-22,97.6411
2018-01-23,97.0896
2018-01-24,97.2106
2018-01-25,95.6617
2018-01-26,95.9615
2018-01-29,95.2975
2018-01-30,96.4866
2018-01-31,95.4992
2018-02-01,95.0077
2018-02-02,94.8229
2018-02-05,94.8813
2018-02-06,95.4158
2018-02-07,93.699
2018-02-08,93.1782
2018-02-09,93.3142
2018-02-12,94.6683
2018-02-13,94.691
2018-02-14,94.8178
2018-02-15,94.5137
2018-02-16,93.9161
2018-02-19,94.5484
2018-02-20,94.3697
2018-02-21,94.4288
2018-02-22,94.9453
2018-02-23,93.4356
2018-02-26,93.3781
2018-02-27,95.5828
2018-02-28,95.2953
2018-03-01,94.1638
2018-03-02,94.8785
2018-03-05,94.9164
2018-03-06,93.8063
2018-03-07,94.3467
2018-03-08,93.0094
2018-03-09,93.3814
2018-03-12,94.4754
2018-03-13,94.9382
2018-03-14,95.1878
2018-03-15,94.5443
2018-03-16,93.9374
2018-03-19,93.8017
2018-03-20,95.1156
2018-03-21,95.3786
2018-03-22,95.1012
2018-03-23,94.2436
2018-03-26,95.1506
2018-03-27,95.5728
2018-03-28,95.4407
2018-03-29,95.4435
2018-03-30,95.9512
2018-04-02,95.5265
2018-04-03,96.6648
2018-04-04,96.4791
2018-04-05,96.2982
2018-04-06,95.4051
2018-04-09,95.3127
2018-04-10,95.8354
2018-04-11,96.4431
2018-04-12,96.4671
2018-04-13,96.5373
2018-04-16,96.6818
2018-04-17,97.7044
2018-04-18,97.0239
2018-04-19,97.326
2018-04-20,97.8107
2018-04-23,99.6563
2018-04-24,99.7725
2018-04-25,100.5677
2018-04-26,101.617
2018-04-27,102.6035
2018-04-30,102.9449
2018-05-01,102.855
2018-05-02,102.0889
2018-05-03,102.2456
2018-05-04,102.5259
2018-05-07,101.5875
2018-05-08,101.2158
2018-05-09,101.2796
2018-05-10,100.335
2018-05-11,99.8063
2018-05-14,99.6333
2018-05-15,99.5559
2018-05-16,100.0006
2018-05-17,101.7562
2018-05-18,101.5051
2018-05-21,100.6797
2018-05-22,100.8634
2018-05-23,101.1826
2018-05-24,100.8818
2018-05-25,100.7556
2018-05-28,100.6535
2018-05-29,100.8718
2018-05-30,99.7096
2018-05-31,101.0173
2018-06-01,101.476
2018-06-04,101.0304
2018-06-05,101.8722
2018-06-06,101.653
2018-06-07,103.1547
2018-06-08,103.1332
2018-06-11,103.9874
2018-06-12,104.8531
2018-06-13,103.4912
2018-06-14,103.7019
2018-06-15,103.0733
2018-06-18,102.4366
2018-06-19,102.7837
2018-06-20,103.9721
2018-06-21,105.0478
2018-06-22,104.5693
2018-06-25,104.8966
2018-06-26,104.9721
2018-06-27,104.8392
2018-06-28,104.5148
2018-06-29,104.3847
2018-07-02,103.7922
2018-07-03,103.4426
2018-07-04,103.8417
2018-07-05,103.5608
2018-07-06,103.9033
2018-07-09,105.2943
2018-07-10,105.6655
2018-07-11,106.0085
2018-07-12,105.3067
2018-07-13,106.1589
2018-07-16,106.7016
2018-07-17,106.8081
2018-07-18,106.314
2018-07-19,106.4071
2018-07-20,106.0974
2018-07-23,105.2448
2018-07-24,105.071
2018-07-25,103.9669
2018-07-26,102.9964
2018-07-27,103.4162
2018-07-30,103.9913
2018-07-31,103.3694
2018-08-01,103.4908
2018-08-02,103.5992
2018-08-03,102.0547
2018-08-06,103.0898
2018-08-07,102.4297
2018-08-08,102.5012
2018-08-09,102.6147
2018-08-10,102.2053
2018-08-13,102.3477
2018-08-14,102.6907
2018-08-15,102.3099
2018-08-16,102.0962
2018-08-17,101.591
2018-08-20,100.8469
2018-08-21,100.9413
2018-08-22,100.2958
2018-08-23,100.8517
2018-08-24,101.3345
2018-08-27,101.2297
2018-08-28,100.911
2018-08-29,101.8998
2018-08-30,101.0766
2018-08-31,100.896
2018-09-03,101.0583
2018-09-04,101.1161
2018-09-05,100.3963
2018-09-06,99.8715
2018-09-07,99.7217
2018-09-10,99.976
2018-09-11,100.4297
2018-09-12,100.4552
2018-09-13,101.2022
2018-09-14,100.8674
2018-09-17,101.2302
2018-09-18,101.9739
2018-09-19,101.5685
2018-09-20,102.1207
2018-09-21,101.1671
2018-09-24,101.303
2018-09-25,101.2458
2018-09-26,101.4063
2018-09-27,101.2466
2018-09-28,100.3648
2018-10-01,99.5684
2018-10-02,98.9258
2018-10-03,99.9745
2018-10-04,99.373
2018-10-05,99.0895
2018-10-08,99.0168
2018-10-09,98.2762
2018-10-10,98.594
2018-10-11,98.5445
2018-10-12,99.0617
2018-10-15,99.7103
2018-10-16,102.0655
2018-10-17,102.1415
2018-10-18,102.4878
2018-10-19,102.4498
2018-10-22,103.3931
2018-10-23,102.0624
2018-10-24,101.0916
2018-10-25,101.6084
2018-10-26,101.6946
2018-10-29,100.7092
2018-10-30,100.2475
2018-10-31,100.5299
2018-11-01,100.892
2018-11-02,100.6632
2018-11-05,100.5656
2018-11-06,100.2284
2018-11-07,100.5967
2018-11-08,100.6285
2018-11-09,101.995
2018-11-12,101.1887
2018-11-13,100.5984
2018-11-14,100.66
2018-11-15,101.1542
2018-11-16,102.4091
2018-11-19,102.8174
2018-11-20,102.8139
2018-11-21,103.3122
2018-11-22,103.524
2018-11-23,102.5249
2018-11-26,102.7784
2018-11-27,103.3786
2018-11-28,102.8861
2018-11-29,102.8826
2018-11-30,103.09
2018-12-03,102.5962
2018-12-04,101.9257
2018-12-05,101.8017
2018-12-06,101.726
2018-12-07,101.5272
2018-12-10,100.4946
2018-12-11,100.3268
2018-12-12,100.4611
2018-12-13,101.0809
2018-12-14,101.0984
2018-12-17,100.4035
2018-12-18,101.6497
2018-12-19,101.7745
2018-12-20,101.6731
2018-12-21,100.0726
2018-12-24,100.8911
2018-12-25,101.4863
2018-12-26,101.3756
2018-12-27,101.6607
2018-12-28,102.5531
2018-12-31,101.9498
2019-01-01,101.4599
2019-01-02,100.9342
2019-01-03,101.5442
2019-01-04,99.2184
2019-01-07,98.4206
2019-01-08,98.4218
2019-01-09,97.5361
2019-01-10,98.0856
2019-01-11,99.3454
2019-01-14,99.9572
2019-01-15,100.5124
2019-01-16,100.7129
2019-01-17,101.0558
2019-01-18,100.2883
2019-01-21,99.7014
2019-01-22,99.835
2019-01-23,96.8079
2019-01-24,96.8518
2019-01-25,97.6218
2019-01-28,98.6827
